,MC by day_adjr2,MC by day_tval,MC by day_bic,MC by day_corr,RW Update by day_adjr2,RW Update by day_tval,RW Update by day_bic,RW Update by day_corr,ROI
rACC,0.0355865505676,45.579283022,3736569.77785,0.0657314604847,0.0376844243405,52.0590878647,3735954.87992,0.0776587131192,rACC
dACC,0.0355673168051,44.9503409936,3720802.88398,0.0651623941855,0.0376802227186,51.5520022352,3720183.50482,0.0773390439331,dACC
vlPFC,0.0357310618387,46.5710187322,3900867.57544,0.0670495479688,0.0380402702298,53.5317400144,3900189.38954,0.07980501749,vlPFC
vmPFC,0.0345177562167,48.4632240717,3855295.06962,0.0710182018882,0.0368228346323,55.170464979,3854618.9851,0.0833039580052,vmPFC
OFCant,0.0379761757295,50.8300448508,3655109.57594,0.0743323185369,0.0402178795899,57.119559902,3654450.01256,0.0858577896883,OFCant
OFClat,0.0320503683851,39.6918718344,3407527.44934,0.0556930038652,0.0343017713939,47.4426313294,3406869.11006,0.0699321542475,OFClat
OFCmed,0.0377182377622,50.1823344187,3733151.29167,0.0734190187076,0.0400771344347,56.854142244,3732456.78893,0.0856406648798,OFCmed
OFCpost,0.0352539134765,46.037246804,3818862.71704,0.0663001333479,0.0377828901182,53.6851861877,3818119.17472,0.0802912140367,OFCpost
dmPFC,0.0341568305116,50.987051064,4158057.00264,0.0756723712013,0.0362573973295,56.8627412157,4157442.22918,0.0864408854733,dmPFC
dlPFC,0.0346983307373,51.0392707322,4276847.32936,0.0753910668146,0.0367445540436,56.7684250872,4276248.43453,0.0858898279308,dlPFC
MFG,0.0340085058489,51.1724242696,4250663.31601,0.0758034416223,0.0357974803835,56.1981913833,4250141.62071,0.0850402329344,MFG
IFG,0.0341892317417,48.2893888421,3953194.82528,0.0704599790707,0.0360164164958,53.6895635796,3952661.62731,0.0803963872742,IFG
