,Relative,Absolute,ROI
rACC,0.06421984192555301,0.01571549580004298,rACC
dACC,0.061270858495721815,0.013977591073747199,dACC
vlPFC,0.05701571022684623,0.009369096209331103,vlPFC
vmPFC,0.061573206741680264,0.015462562036054422,vmPFC
OFCant,0.06318590647605084,0.012551325060239876,OFCant
OFClat,0.04862631996861302,0.004953748729566186,OFClat
OFCmed,0.06094248892431726,0.013380815334971043,OFCmed
OFCpost,0.05562774000508987,0.009522227525586577,OFCpost
dmPFC,0.05611340241931851,0.010754172089801946,dmPFC
dlPFC,0.05385566154495627,0.0090582888602254,dlPFC
MFG,0.057657687509137426,0.012030578744656581,MFG
IFG,0.058193347161549704,0.009817958585292946,IFG
V1,0.052755653394594634,0.017556280469269183,V1
Fusiform,0.061082333095076866,0.018954829960782266,Fusiform
