,value,choice,choice_prob
rACC,-0.0699997066923,0.0273495332306,0.0243057299789
dACC,-0.0676083351018,0.031314355503,0.0230217237847
vlPFC,-0.0480373279757,0.024533290502,0.0476040506489
vmPFC,-0.0363664093872,0.024730568305,0.0526560393293
OFCant,-0.0139162980284,0.0218039503009,0.0691764276119
OFClat,0.00027688405395,0.0164846929697,0.0793256948326
OFCmed,-0.027867651767,0.0228094466256,0.0637452778136
OFCpost,-0.0337281174404,0.0252317579612,0.0571889888799
dmPFC,-0.0401392822273,0.0226257372403,0.0455286501056
dlPFC,-0.0316309277562,0.021640157638,0.0529921397919
MFG,-0.0369113320059,0.0239182454401,0.0473862475431
IFG,-0.0486442637726,0.0256393807603,0.040763351204
