,Subtract Mean_adjr2,Subtract Mean_tval,Subtract Mean_bic,Subtract Mean_corr,Subtract Median_adjr2,Subtract Median_tval,Subtract Median_bic,Subtract Median_corr,Z-score_adjr2,Z-score_tval,Z-score_bic,Z-score_corr,ROI
rACC,0.020005588439777733,55.20895465021593,2334475.9852148797,0.11266744695089607,0.020046021308205875,55.28801689806038,2334467.374808822,0.11238277503555504,0.02240308856726081,59.72682969622654,2333964.8091145507,0.12362571631782093,rACC
dACC,0.02446719925867158,62.292052005590655,2316965.4608697365,0.1274325602368172,0.024387577819384276,62.152649459831835,2316982.493202953,0.1266604494334495,0.027270189803304645,67.02853679143189,2316364.9675891413,0.1388820102716496,dACC
vlPFC,0.01830407415752011,53.31496736621665,2494242.4596769284,0.10933375223055616,0.01840012084377185,53.5087206991975,2494222.040869975,0.10932287516342593,0.020536655358091238,57.65970989994978,2493767.312337688,0.1198712197837416,vlPFC
vmPFC,0.020440069927682214,58.63481691040419,2498074.938176584,0.1202893516235177,0.02044588733225139,58.645558421504994,2498073.6988000586,0.11990442944814503,0.02267749252155804,62.63916992731517,2497597.7197672944,0.12990073682292116,vmPFC
OFCant,0.017227687893335397,53.97474622955506,2529608.43919915,0.11170313518993415,0.017258993184678606,54.03715149672952,2529601.7914369665,0.11147053396943464,0.01902887393173114,57.461256849806915,2529225.607701263,0.12022166307009259,OFCant
OFClat,0.012585627328457694,43.92585150052566,2377555.6858354616,0.09044525142756356,0.012664858278548907,44.11781666689998,2377538.939624265,0.09050396476162341,0.014037294076423401,47.32416754690794,2377248.648885218,0.09883645697824846,OFClat
OFCmed,0.01542102163909398,48.86363759444761,2319659.912967265,0.10031020011658437,0.015432009831928717,48.887736189357355,2319657.5839009364,0.0999743916460284,0.017438324574681197,53.11319604912611,2319231.887534819,0.11056596289456537,OFCmed
OFCpost,0.016658505024253367,48.48839365020653,2445446.2108802046,0.09897213684165457,0.016676368510979978,48.52791064310077,2445442.4197427523,0.09861956159250158,0.01895397135178989,53.33771810212341,2444958.4828981836,0.11072453222311732,OFCpost
dmPFC,0.01441834239709805,48.227082405486016,2797831.706987659,0.09900916719245857,0.014364432712138164,48.107277097241365,2797843.121727673,0.0983953064260854,0.016108016355348975,51.84814273735938,2797473.621632109,0.10777596446421682,dmPFC
dlPFC,0.014120835052643166,48.02340121025383,2984811.4384682016,0.09881432080559452,0.014043188301679832,47.850087322956114,2984827.874092975,0.09809666711080232,0.015676118601799516,51.37728993598556,2984481.9559337194,0.10699143805922079,dlPFC
MFG,0.015324371231928313,49.61771562467819,2904760.162389505,0.10224190136015711,0.015294752416272095,49.55367407385493,2904766.4396722126,0.10173667413955273,0.017026825747863295,53.175314557426354,2904399.0338959484,0.11096191912061426,MFG
IFG,0.01676878493942424,50.61411002851084,2655458.05109902,0.10359627974912079,0.016840240451465704,50.7655543390028,2655442.8841027687,0.1035069654738434,0.018745649610553916,54.656877998818366,2655038.038845843,0.1134678773316824,IFG
