,Absolute_adjr2,Absolute_tval,Absolute_bic,Absolute_corr,ROI
rACC,0.01581317672955218,39.53705209846901,3307844.5531286886,0.07296924721892806,rACC
dACC,0.019984652013007254,45.596975354207316,3211401.2283003097,0.08292013664493797,dACC
vlPFC,0.01716349305854248,45.653960223220665,3507844.696134914,0.08218991471255858,vlPFC
vmPFC,0.014613010079362332,42.037001626105976,3429612.603111032,0.07680805899618219,vmPFC
OFCant,0.017123212903414453,55.62683886079657,3442751.9237266094,0.09964078125827425,OFCant
OFClat,0.01644279057830267,51.44518662639339,3365926.591466491,0.09194910091498286,OFClat
OFCmed,0.018973276840346998,53.191248081935875,3206864.2264067642,0.09608302249999506,OFCmed
OFCpost,0.021237664210604024,53.08325277949966,3394039.4484749455,0.09566297895354897,OFCpost
dmPFC,0.01317746832645239,35.9071977908714,3873782.628234776,0.06639332922017295,dmPFC
dlPFC,0.015566154667432941,41.6198754626448,4078923.366711429,0.0757346840653423,dlPFC
MFG,0.01496185831308694,38.53659890357616,4038556.56728019,0.07018096735816186,MFG
IFG,0.016589050443242104,40.68157095255247,3713382.516471063,0.07385509246937935,IFG
